Dalvik/1.6.0 (Linux; U; Android 4.2.1; R819T Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; R819T Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; W711 Build/KVT49L)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; W711 Build/KVT49L)
Dalvik/1.6.0 (Linux; U; Android 4.3; M811 Build/JLS36C)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; R823T Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; R823T Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; vtel_T70 Build/vtelvtel_T70)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; K-Touch Tou ch 2c Build/KVT49L)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; K-Touch Tou ch 2c Build/KVT49L)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; vtel_T70 Build/vtelvtel_T70)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-N9006 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; PE-TL20 Build/HuaweiPE-TL20)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; PE-TL20 Build/HuaweiPE-TL20)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; MyPhone Agua Hail Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; MyPhone Agua Hail Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; R823T Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; R823T Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; HUAWEI G7-TL00 Build/HuaweiG7-TL00)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-G531H Build/LMY48B)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-G531H Build/LMY48B)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-G531H Build/LMY48B)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-A5000 Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-N900 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-N900 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Fly IQ4405_Quad Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; S9 Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; S9 Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Fly IQ4405_Quad Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; G-TiDE E77 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.0.4; U705T Build/IMM76D)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; HUAWEI G610-U00 Build/HuaweiG610-U00)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; HUAWEI G610-U00 Build/HuaweiG610-U00)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; i4000 Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; HTC Desire 820s dual sim Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; HTC Desire 820s dual sim Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-G900J Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Qumo Quest 502 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Coolpad 8675 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Coolpad 8675 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Flylife Connect 7 3G 2 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; LGL39C Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; GT-I9060I Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; GT-I9060I Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; ETON P1 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Micromax A177 Build/MicromaxA177)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-I9300 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-I9300 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-G7508Q Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; S1 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; vivo X510t Build/JDQ39)
Dalvik/1.4.0 (Linux; U; Android 2.3.6; G9 Build/GRK39F)
Dalvik/1.4.0 (Linux; U; Android 2.3.6; G9 Build/GRK39F)
Dalvik/1.4.0 (Linux; U; Android 2.3.6; G9 Build/GRK39F)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; CUBOT P9 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; CUBOT P9 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; A31t Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; A31t Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; YUSUN W35 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; CUBOT ONE Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; CUBOT ONE Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; vivo X510t Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; R830 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; R830 Build/JDQ39)
